date,Discharge
1/6/1981,0.34362717
1/7/1981,0.36171281
1/8/1981,0.27811875
1/9/1981,0.190125
1/10/1981,0.0975
1/11/1981,0
1/12/1981,0
1/13/1981,0.599625
1/14/1981,1.5975375
1/15/1981,2.5916597
1/16/1981,3.5798758
1/17/1981,2.5615412
1/18/1981,2.5379653
1/19/1981,1.5109682
1/20/1981,1.4822009
1/21/1981,9.4475328
1/22/1981,9.3976261
1/23/1981,8.3297162
1/24/1981,8.2469783
1/25/1981,10.15044
1/26/1981,11.038563
1/27/1981,12.909372
1/28/1981,9.7677691
1/29/1981,6.6268867
1/30/1981,4.4941081
1/31/1981,2.3690197
2/1/1981,12.244319
2/2/1981,31.107848
2/3/1981,21.967859
2/4/1981,15.839019
2/5/1981,10.722993
2/6/1981,7.6206385
2/7/1981,4.5317465
2/8/1981,1.4532841
2/9/1981,13.37312
2/10/1981,38.259214
2/11/1981,657.68889
2/12/1981,486.0237
2/13/1981,283.32456
2/14/1981,155.1334
2/15/1981,326.67804
2/16/1981,672.95752
2/17/1981,591.24258
2/18/1981,323.81465
2/19/1981,212.7103
2/20/1981,169.94437
2/21/1981,147.51945
2/22/1981,121.42957
2/23/1981,129.66305
2/24/1981,149.21259
2/25/1981,104.0665
2/26/1981,70.181936
2/27/1981,45.487983
2/28/1981,34.922945
3/1/1981,26.451126
3/2/1981,17.048257
3/3/1981,6.6895946
3/4/1981,16.348865
3/5/1981,576.9818
3/6/1981,511.63034
3/7/1981,225.39483
3/8/1981,135.47376
3/9/1981,94.133594
3/10/1981,72.908437
3/11/1981,56.219408
3/12/1981,43.783587
3/13/1981,36.851144
3/14/1981,29.553836
3/15/1981,25.977722
3/16/1981,27.34497
3/17/1981,19.547337
3/18/1981,17.497197
3/19/1981,13.286523
3/20/1981,13.985814
3/21/1981,12.669278
3/22/1981,8.2045031
3/23/1981,6.5836875
3/24/1981,3.85125
3/25/1981,0.975
3/26/1981,0
3/27/1981,2.998125
3/28/1981,7.9876875
3/29/1981,3.9639234
3/30/1981,37.908817
3/31/1981,26.816215
4/1/1981,13.715279
4/2/1981,5.6238922
4/3/1981,1.5412271
4/4/1981,4.4622908
4/5/1981,23.369895
4/6/1981,15.244958
4/7/1981,6.094715
4/8/1981,2.9410202
4/9/1981,7.7908441
4/10/1981,50.612083
4/11/1981,106.3161
4/12/1981,258.72255
4/13/1981,270.62757
4/14/1981,130.11935
4/15/1981,74.535991
4/16/1981,45.046175
4/17/1981,35.650023
4/18/1981,35.345053
4/19/1981,23.122101
4/20/1981,95.919746
4/21/1981,56.664821
4/22/1981,42.374965
4/23/1981,740.01483
4/24/1981,391.6551
4/25/1981,164.46132
4/26/1981,100.46338
4/27/1981,64.660977
4/28/1981,39.020662
4/29/1981,80.500171
4/30/1981,100.08474
5/1/1981,64.778677
5/2/1981,30.577214
5/3/1981,13.45335
5/4/1981,3.3694948
5/5/1981,1.29977
5/6/1981,96.175407
5/7/1981,86.88773
5/8/1981,28.441508
5/9/1981,11.941438
5/10/1981,430.1884
5/11/1981,1214.2039
5/12/1981,910.05619
5/13/1981,437.14209
5/14/1981,468.39613
5/15/1981,979.99238
5/16/1981,1012.4114
5/17/1981,443.32862
5/18/1981,578.79827
5/19/1981,1122.8616
5/20/1981,731.57684
5/21/1981,360.00487
5/22/1981,182.10884
5/23/1981,63.681525
5/24/1981,146.4437
5/25/1981,699.09619
5/26/1981,461.72718
5/27/1981,1522.6321
5/28/1981,2939.947
5/29/1981,2217.9087
5/30/1981,1106.7775
5/31/1981,639.85665
6/1/1981,386.40838
6/2/1981,198.40355
6/3/1981,133.92479
6/4/1981,94.789255
6/5/1981,63.857111
6/6/1981,56.954854
6/7/1981,37.37353
6/8/1981,14.708979
6/9/1981,0.088398979
6/10/1981,871.66608
6/11/1981,1342.2725
6/12/1981,687.66908
6/13/1981,369.09507
6/14/1981,231.61078
6/15/1981,139.64679
6/16/1981,79.259783
6/17/1981,54.694509
6/18/1981,40.125799
6/19/1981,30.948209
6/20/1981,26.419168
6/21/1981,27.80965
6/22/1981,32.275289
6/23/1981,22.607542
6/24/1981,16.613202
6/25/1981,13.382318
6/26/1981,9.9813869
6/27/1981,8.4540915
6/28/1981,6.8464121
6/29/1981,6.1804337
6/30/1981,4.4530881
7/1/1981,4.6874612
7/2/1981,3.9078539
7/3/1981,3.0872146
7/4/1981,3.2496996
7/5/1981,16.429289
7/6/1981,28.651456
7/7/1981,11.929942
7/8/1981,6.2425916
7/9/1981,9.5731228
7/10/1981,25.937399
7/11/1981,8.3451897
7/12/1981,4.6791471
7/13/1981,2.8727864
7/14/1981,1.9976699
7/15/1981,4.1041262
7/16/1981,13.225988
7/17/1981,6.3721289
7/18/1981,2.5161587
7/19/1981,1.6222724
7/20/1981,17.718181
7/21/1981,39.864665
7/22/1981,9.0811865
7/23/1981,3.2898937
7/24/1981,2.4367302
7/25/1981,1.5386633
7/26/1981,2.6203035
7/27/1981,2.7081813
7/28/1981,2.8031859
7/29/1981,1.90125
7/30/1981,0.975
7/31/1981,0
8/1/1981,0
8/2/1981,0
8/3/1981,0.999375
8/4/1981,1.9963125
8/5/1981,17.979183
8/6/1981,135.94911
8/7/1981,29.926666
8/8/1981,15.090276
8/9/1981,9.5700602
8/10/1981,6.9948003
8/11/1981,8.3636055
8/12/1981,5.69919
8/13/1981,3.9465158
8/14/1981,3.1279114
8/15/1981,11.297801
8/16/1981,17.496107
8/17/1981,8.7305861
8/18/1981,4.9842485
8/19/1981,3.1939458
8/20/1981,2.6436272
8/21/1981,1.8590813
8/22/1981,1.135875
8/23/1981,0.6825
8/24/1981,0
8/25/1981,2.8981875
8/26/1981,2.6912437
8/27/1981,7.5750614
8/28/1981,12.541457
8/29/1981,22.47665
8/30/1981,37.358845
8/31/1981,20.211815
9/1/1981,22.074716
9/2/1981,38.950569
9/3/1981,27.84221
9/4/1981,16.752504
9/5/1981,11.683321
9/6/1981,8.6354605
9/7/1981,6.608102
9/8/1981,5.598511
9/9/1981,4.834719
9/10/1981,3.0365463
9/11/1981,1.9647856
9/12/1981,1.2471428
9/13/1981,1.1075187
9/14/1981,0.44738811
9/15/1981,1.1713954
9/16/1981,2.6990116
9/17/1981,4.433862
9/18/1981,2.3778805
9/19/1981,1.3288145
9/20/1981,0.67275
9/21/1981,0.195
9/22/1981,0
9/23/1981,0.199875
9/24/1981,3.1975125
9/25/1981,4.5883866
9/26/1981,3.5701794
9/27/1981,3.4442596
9/28/1981,2.6126937
9/29/1981,4.4759863
9/30/1981,13.42723
10/1/1981,17.354876
10/2/1981,13.270917
10/3/1981,11.193072
10/4/1981,8.1224601
10/5/1981,7.0598265
10/6/1981,20.005873
10/7/1981,15.96176
10/8/1981,3.9283886
10/9/1981,4.9056343
10/10/1981,2.0920067
10/11/1981,1.3846245
10/12/1981,0.98108337
10/13/1981,0.88932797
10/14/1981,0.83350313
10/15/1981,0.9774375
10/16/1981,0
10/17/1981,0.4996875
10/18/1981,26.981906
10/19/1981,21.918091
10/20/1981,7.8113283
10/21/1981,3.6891962
10/22/1981,2.3679991
10/23/1981,7.4486987
10/24/1981,6.3262833
10/25/1981,5.1999877
10/26/1981,6.0717559
10/27/1981,10.938347
10/28/1981,8.7966698
10/29/1981,6.6549553
10/30/1981,4.5210876
10/31/1981,2.3947287
11/1/1981,2.2749923
11/2/1981,2.1612427
11/3/1981,3.0531649
11/4/1981,1.950491
11/5/1981,2.8523415
11/6/1981,4.7560057
11/7/1981,4.6584226
11/8/1981,3.5593328
11/9/1981,3.4603809
11/10/1981,27.347426
11/11/1981,65.169566
11/12/1981,60.948964
11/13/1981,57.747131
11/14/1981,57.570486
11/15/1981,55.42492
11/16/1981,29.315511
11/17/1981,2.2368011
11/18/1981,2.1724923
11/19/1981,1.1132427
11/20/1981,15.048831
11/21/1981,7.9662015
11/22/1981,4.8713979
11/23/1981,1.777772
11/24/1981,6.6857584
11/25/1981,6.5891268
11/26/1981,4.4892452
11/27/1981,28.39298
11/28/1981,13.303854
11/29/1981,7.2235311
11/30/1981,5.1529303
12/1/1981,50.093037
12/2/1981,42.046698
12/3/1981,23.018126
12/4/1981,17.083001
12/5/1981,12.556503
12/6/1981,11.065021
12/7/1981,12.604632
12/8/1981,8.089645
12/9/1981,6.4627842
12/10/1981,5.7766149
12/11/1981,5.0543315
12/12/1981,4.2940331
12/13/1981,3.4937191
12/14/1981,2.6512833
12/15/1981,1.7645087
12/16/1981,1.4468512
12/17/1981,1.112475
12/18/1981,0.7605
12/19/1981,0.39
12/20/1981,0
12/21/1981,7.995
12/22/1981,32.959875
12/23/1981,685.45327
12/24/1981,653.70931
12/25/1981,348.67111
12/26/1981,226.94245
12/27/1981,439.0302
12/28/1981,377.24204
12/29/1981,190.7068
12/30/1981,113.43987
12/31/1981,90.435888
1/1/1982,100.67635
1/2/1982,86.148396
1/3/1982,422.85162
1/4/1982,770.80801
1/5/1982,531.0687
1/6/1982,313.69036
1/7/1982,245.70978
1/8/1982,150.13695
1/9/1982,116.94262
1/10/1982,64.212799
1/11/1982,48.09242
1/12/1982,30.097285
1/13/1982,22.44451
1/14/1982,15.415274
1/15/1982,10.068709
1/16/1982,6.4933781
1/17/1982,3.7561875
1/18/1982,1.90125
1/19/1982,0.975
1/20/1982,0
1/21/1982,13.99125
1/22/1982,64.92525
1/23/1982,950.1815
1/24/1982,1080.6054
1/25/1982,676.38167
1/26/1982,421.86922
1/27/1982,247.68434
1/28/1982,138.84636
1/29/1982,66.314632
1/30/1982,668.62015
1/31/1982,1912.2838
2/1/1982,2597.8425
2/2/1982,1314.0088
2/3/1982,720.9788
2/4/1982,478.85546
2/5/1982,317.64532
2/6/1982,167.19986
2/7/1982,86.162512
2/8/1982,49.64475
2/9/1982,26.599737
2/10/1982,21.841828
2/11/1982,15.807187
2/12/1982,10.48125
2/13/1982,4.875
2/14/1982,0
2/15/1982,5.99625
2/16/1982,583.62037
2/17/1982,1417.6608
2/18/1982,1792.7719
2/19/1982,1556.392
2/20/1982,1070.5377
2/21/1982,1065.3441
2/22/1982,930.91133
2/23/1982,598.31578
2/24/1982,444.60666
2/25/1982,284.76406
2/26/1982,208.66093
2/27/1982,166.12862
2/28/1982,135.13526
3/1/1982,90.931855
3/2/1982,39.270374
3/3/1982,26.968815
3/4/1982,89.428358
3/5/1982,135.11205
3/6/1982,59.071045
3/7/1982,36.038438
3/8/1982,15.35625
3/9/1982,4.875
3/10/1982,0
3/11/1982,74.953125
3/12/1982,154.72031
3/13/1982,461.9809
3/14/1982,238.48987
3/15/1982,314.3605
3/16/1982,649.63416
3/17/1982,549.66703
3/18/1982,252.92788
3/19/1982,750.46089
3/20/1982,1145.3235
3/21/1982,620.60168
3/22/1982,297.37454
3/23/1982,184.66677
3/24/1982,119.41564
3/25/1982,112.33363
3/26/1982,141.26106
3/27/1982,82.421507
3/28/1982,52.89106
3/29/1982,40.280064
3/30/1982,30.084278
3/31/1982,39.672924
4/1/1982,24.108341
4/2/1982,11.00878
4/3/1982,125.66319
4/4/1982,73.538423
4/5/1982,36.617047
4/6/1982,64.834795
4/7/1982,35.185003
4/8/1982,29.643593
4/9/1982,54.199929
4/10/1982,49.879817
4/11/1982,38.686363
4/12/1982,30.398191
4/13/1982,25.840201
4/14/1982,15.910738
4/15/1982,7.511303
4/16/1982,64.944135
4/17/1982,588.85445
4/18/1982,324.79531
4/19/1982,170.66259
4/20/1982,135.05663
4/21/1982,100.80673
4/22/1982,73.647721
4/23/1982,55.971285
4/24/1982,45.575037
4/25/1982,38.736881
4/26/1982,33.591454
4/27/1982,28.175215
4/28/1982,20.421279
4/29/1982,17.39082
4/30/1982,16.253494
5/1/1982,15.05631
5/2/1982,12.7698
5/3/1982,9.3366313
5/4/1982,6.7490856
5/5/1982,5.051669
5/6/1982,3.2649147
5/7/1982,76.484779
5/8/1982,153.90855
5/9/1982,65.628133
5/10/1982,41.562527
5/11/1982,28.613533
5/12/1982,20.692687
5/13/1982,16.650197
5/14/1982,10.342312
5/15/1982,4.72875
5/16/1982,2.925
5/17/1982,0
5/18/1982,0.999375
5/19/1982,44.969437
5/20/1982,24.869995
5/21/1982,209.58995
5/22/1982,276.88636
5/23/1982,173.6654
5/24/1982,100.11057
5/25/1982,60.435813
5/26/1982,83.733879
5/27/1982,324.8523
5/28/1982,396.44767
5/29/1982,404.32574
5/30/1982,1268.7178
5/31/1982,1355.1629
6/1/1982,1142.0249
6/2/1982,658.42978
6/3/1982,334.46032
6/4/1982,217.12743
6/5/1982,154.34849
6/6/1982,99.980989
6/7/1982,83.6846
6/8/1982,174.14563
6/9/1982,107.96165
6/10/1982,72.316673
6/11/1982,48.412287
6/12/1982,34.53925
6/13/1982,26.093947
6/14/1982,17.204155
6/15/1982,10.925426
6/16/1982,32.514264
6/17/1982,99.218272
6/18/1982,47.10509
6/19/1982,35.142185
6/20/1982,32.277681
6/21/1982,27.496802
6/22/1982,16.550381
6/23/1982,12.289875
6/24/1982,5.7525
6/25/1982,1.95
6/26/1982,0
6/27/1982,0
6/28/1982,12.991875
6/29/1982,31.948313
6/30/1982,102.79663
7/1/1982,49.480238
7/2/1982,32.048498
7/3/1982,140.49998
7/4/1982,132.72619
7/5/1982,64.804476
7/6/1982,35.902742
7/7/1982,21.056982
7/8/1982,146.26848
7/9/1982,857.55528
7/10/1982,287.96641
7/11/1982,365.55907
7/12/1982,177.37239
7/13/1982,108.95277
7/14/1982,72.367678
7/15/1982,48.465977
7/16/1982,33.56945
7/17/1982,24.046789
7/18/1982,17.101883
7/19/1982,52.024351
7/20/1982,58.064646
7/21/1982,33.237347
7/22/1982,21.402494
7/23/1982,21.502625
7/24/1982,15.450132
7/25/1982,11.131718
7/26/1982,10.691282
7/27/1982,10.227665
7/28/1982,8.7133315
7/29/1982,7.1192964
7/30/1982,5.4413646
7/31/1982,3.6751206
8/1/1982,2.8422322
8/2/1982,2.0681392
8/3/1982,1.8690939
8/4/1982,1.5569409
8/5/1982,1.433622
8/6/1982,7.3128916
8/7/1982,10.409564
8/8/1982,5.5283659
8/9/1982,4.0639534
8/10/1982,3.9110908
8/11/1982,13.975231
8/12/1982,10.167004
8/13/1982,5.0846761
8/14/1982,4.7188214
8/15/1982,2.9138303
8/16/1982,2.2461372
8/17/1982,1.851197
8/18/1982,1.4354706
8/19/1982,0.99786375
8/20/1982,0.537225
8/21/1982,0.5655
8/22/1982,0.39
8/23/1982,0
8/24/1982,2.598375
8/25/1982,2.5920375
8/26/1982,3.3793378
8/27/1982,3.8596155
8/28/1982,3.3327921
8/29/1982,5.2986895
8/30/1982,13.150978
8/31/1982,27.071228
9/1/1982,588.58908
9/2/1982,1313.8909
9/3/1982,1211.476
9/4/1982,495.36041
9/5/1982,241.63348
9/6/1982,163.32995
9/7/1982,116.42504
9/8/1982,80.833747
9/9/1982,51.459124
9/10/1982,35.228473
9/11/1982,25.094475
9/12/1982,18.028489
9/13/1982,16.152235
9/14/1982,15.976037
9/15/1982,13.737934
9/16/1982,11.382036
9/17/1982,7.8758272
9/18/1982,16.295608
9/19/1982,10.749061
9/20/1982,8.1948006
9/21/1982,6.5734743
9/22/1982,3.8404993
9/23/1982,3.016315
9/24/1982,3.1750684
9/25/1982,8.3454668
9/26/1982,5.5325637
9/27/1982,3.7262184
9/28/1982,2.8960193
9/29/1982,2.0221256
9/30/1982,1.1022375
10/1/1982,1.16025
10/2/1982,0.195
10/3/1982,0
10/4/1982,0.199875
10/5/1982,1.1987625
10/6/1982,1.1953866
10/7/1982,55.155601
10/8/1982,75.003056
10/9/1982,248.58163
10/10/1982,260.9518
10/11/1982,100.34034
10/12/1982,61.806244
10/13/1982,44.357295
10/14/1982,31.994702
10/15/1982,24.712327
10/16/1982,20.496959
10/17/1982,14.334214
10/18/1982,10.210506
10/19/1982,7.114326
10/20/1982,12.038924
10/21/1982,9.9824193
10/22/1982,6.9447913
10/23/1982,4.9243329
10/24/1982,2.9168334
10/25/1982,15.030125
10/26/1982,56.247764
10/27/1982,54.585133
10/28/1982,54.066805
10/29/1982,24.671679
10/30/1982,0
10/31/1982,0
11/1/1982,1.99875
11/2/1982,3.992625
11/3/1982,15.970866
11/4/1982,10.921926
11/5/1982,6.8498275
11/6/1982,4.7663843
11/7/1982,11.678203
11/8/1982,5.5913482
11/9/1982,3.5100969
11/10/1982,1.4341467
11/11/1982,3.3611894
11/12/1982,18.278817
11/13/1982,38.155655
11/14/1982,16.975156
11/15/1982,9.7736173
11/16/1982,5.5832603
11/17/1982,3.4036457
11/18/1982,4.2328384
11/19/1982,4.0687277
11/20/1982,3.910446
11/21/1982,5.7565707
11/22/1982,7.6033067
11/23/1982,24.436603
11/24/1982,113.18006
11/25/1982,61.753082
11/26/1982,56.1846
11/27/1982,159.46296
11/28/1982,318.37802
11/29/1982,391.65604
11/30/1982,201.28719
12/1/1982,173.54422
12/2/1982,189.60732
12/3/1982,780.12337
12/4/1982,2713.1882
12/5/1982,3664.8414
12/6/1982,2386.5519
12/7/1982,1459.3441
12/8/1982,827.40913
12/9/1982,482.80152
12/10/1982,300.36872
12/11/1982,231.80071
12/12/1982,163.8427
12/13/1982,116.32901
12/14/1982,86.132642
12/15/1982,78.177408
12/16/1982,105.43297
12/17/1982,51.876776
12/18/1982,36.46414
12/19/1982,29.152726
12/20/1982,20.917371
12/21/1982,12.737062
12/22/1982,4.590271
12/23/1982,2.4595075
12/24/1982,228.19528
12/25/1982,1312.8488
12/26/1982,2169.7106
12/27/1982,1795.9496
12/28/1982,1582.7433
12/29/1982,1350.2804
12/30/1982,721.83897
12/31/1982,386.51169
